model,episode,timeframes,totalrewards,success
trial_95,1,1000,4208,1
trial_95,2,1000,4202.5,1
trial_95,3,1000,4235.5,1
trial_95,4,1000,4164,1
trial_95,5,1000,4224.5,1
trial_95,6,1000,4164,1
trial_95,7,1000,4290.5,1
trial_95,8,1000,4136.5,1
trial_95,9,1000,4230,1
trial_95,10,1000,4241,1
trial_95,11,1000,4268.5,1
trial_95,12,1000,4224.5,1
trial_95,13,1000,4202.5,1
trial_95,14,1000,4230,1
trial_95,15,1000,4213.5,1
trial_95,16,1000,4213.5,1
trial_95,17,1000,4318,1
trial_95,18,1000,4219,1
trial_95,19,1000,4268.5,1
trial_95,20,1000,4268.5,1
trial_95,21,1000,4257.5,1
trial_95,22,1000,4208,1
trial_95,23,1000,4263,1
trial_95,24,1000,4290.5,1
trial_95,25,1000,4208,1
trial_95,26,1000,4285,1
trial_95,27,1000,4219,1
trial_95,28,1000,4241,1
trial_95,29,1000,4219,1
trial_95,30,1000,4208,1
trial_95,31,1000,4213.5,1
trial_95,32,1000,4180.5,1
trial_95,33,1000,4296,1
trial_95,34,1000,4235.5,1
trial_95,35,1000,4323.5,1
trial_95,36,1000,4219,1
trial_95,37,1000,4274,1
trial_95,38,1000,4175,1
trial_95,39,1000,4219,1
trial_95,40,1000,4241,1
trial_95,41,1000,4263,1
trial_95,42,1000,4219,1
trial_95,43,1000,4186,1
trial_95,44,1000,4197,1
trial_95,45,1000,4219,1
trial_95,46,1000,4246.5,1
trial_95,47,1000,4197,1
trial_95,48,1000,4246.5,1
trial_95,49,1000,4219,1
trial_95,50,1000,4268.5,1
trial_95,51,1000,4241,1
trial_95,52,1000,4202.5,1
trial_95,53,1000,4202.5,1
trial_95,54,1000,4252,1
trial_95,55,1000,4208,1
trial_95,56,1000,4224.5,1
trial_95,57,1000,4252,1
trial_95,58,1000,4224.5,1
trial_95,59,1000,4230,1
trial_95,60,1000,4180.5,1
trial_95,61,1000,4164,1
trial_95,62,1000,4235.5,1
trial_95,63,1000,4241,1
trial_95,64,1000,4219,1
trial_95,65,1000,4191.5,1
trial_95,66,7,-175.5,0
trial_95,67,1000,4219,1
trial_95,68,1000,4252,1
trial_95,69,1000,4208,1
trial_95,70,1000,4180.5,1
trial_95,71,1000,4241,1
trial_95,72,1000,4191.5,1
trial_95,73,1000,4213.5,1
trial_95,74,1000,4235.5,1
trial_95,75,1000,4246.5,1
trial_95,76,1000,4241,1
trial_95,77,1000,4164,1
trial_95,78,1000,4252,1
trial_95,79,1000,4169.5,1
trial_95,80,1000,4164,1
trial_95,81,1000,4246.5,1
trial_95,82,1000,4301.5,1
trial_95,83,1000,4202.5,1
trial_95,84,1000,4202.5,1
trial_95,85,1000,4274,1
trial_95,86,1000,4263,1
trial_95,87,1000,4219,1
trial_95,88,1000,4224.5,1
trial_95,89,1000,4224.5,1
trial_95,90,1000,4186,1
trial_95,91,1000,4235.5,1
trial_95,92,1000,4175,1
trial_95,93,23,-167,0
trial_95,94,1000,4263,1
trial_95,95,1000,4186,1
trial_95,96,1000,4186,1
trial_95,97,1000,4241,1
trial_95,98,1000,4142,1
trial_95,99,1000,4219,1
trial_95,100,1000,4219,1
