episode,time-frames,total-rewards,epsilon
1,20,-163.5,0.9925261932102195
2,15,-159.0,0.9856010447307353
3,16,-178.0,0.978234852950612
4,20,-185.5,0.9689833231354715
5,13,-188.5,0.9631853848044037
6,22,-160.5,0.9531223457267703
7,26,-172.0,0.9412795273104247
8,92,-61.5,0.8994008056908817
9,12,-181.5,0.8944664494890561
10,8,-180.5,0.8913405089533699
11,34,-128.5,0.8767504418816037
12,31,-126.0,0.8636940884108993
13,21,-175.0,0.8550980501807026
14,19,-155.5,0.8474347881728043
15,10,-181.5,0.8436289496477257
16,41,-151.5,0.8269198412196082
17,57,-77.0,0.8040816034112525
18,83,-66.5,0.771773032457225
19,11,-175.5,0.7679228381750823
20,20,-156.0,0.7606603070848488
21,10,-169.5,0.7572441736647851
22,113,-34.5,0.7159939742966291
23,14,-183.5,0.7113539497813829
24,29,-152.0,0.7014619270413868
25,21,-154.5,0.6944805274662552
26,11,-181.0,0.69101592732676
27,20,-167.0,0.6844807334158933
28,64,-85.0,0.6632504156875374
29,166,31.5,0.6107159685812871
30,31,-121.5,0.601621335519126
31,16,-161.5,0.5971249338968463
32,11,-182.0,0.5941460179338273
33,38,-107.5,0.5832526672941704
34,28,-127.5,0.5754297240937849
35,13,-158.0,0.571986624533141
36,29,-178.0,0.5640326310273845
37,270,604.0,0.493034164112079
38,109,115.0,0.46711008855048985
39,27,-138.0,0.46107545871874744
40,12,-163.0,0.45854587398317365
41,50,-19.5,0.4487852926055789
42,73,-52.5,0.43291247884087763
43,32,-109.0,0.42625241910086664
44,48,-47.5,0.41634982273930804
45,22,-193.0,0.41199993890355796
46,49,-27.0,0.40222723859724363
47,45,-42.0,0.39347270360190534
48,75,58.5,0.37917674580173133
49,91,74.0,0.36248793478406655
50,27,-150.5,0.3578049263059523
51,76,16.0,0.3446324756289099
52,15,-155.5,0.3422278730290903
53,35,-70.5,0.3364577416493185
54,148,234.5,0.3126093031335636
55,56,10.5,0.30412758496776354
56,248,712.5,0.2687862396231668
57,16,-190.0,0.2667773832004716
58,31,-202.0,0.26280459955912006
59,35,-78.0,0.2583735838933226
60,33,-119.0,0.2542714852628829
61,28,-123.5,0.2508610398449183
62,267,650.0,0.21961277867301088
63,8,-162.0,0.21884528595441782
64,81,118.5,0.2102621362202569
65,93,119.5,0.20080685308806037
66,317,844.0,0.171452112976413
67,23,-108.5,0.16957600816691018
68,8,-163.0,0.16898338167084473
69,102,163.0,0.16065958498745625
70,21,-158.5,0.15906059762244978
71,15,-155.5,0.15795078484037278
72,16,-162.5,0.15677029119218164
73,216,791.5,0.14078793294920175
74,48,-32.5,0.13751718066698607
75,33,-113.5,0.1353338729542716
76,35,-117.0,0.1330520768510853
77,153,91.5,0.12331247740135601
78,76,10.0,0.11877277599700957
79,126,300.5,0.11157495332459802
80,500,1811.0,0.09999990220671394
81,133,385.0,0.1
82,59,60.0,0.1
83,54,3.0,0.1
84,213,581.0,0.1
85,55,-39.5,0.1
86,14,-126.0,0.1
87,109,279.5,0.1
88,500,1843.5,0.1
89,500,1885.0,0.1
90,500,1984.0,0.1
91,500,2023.0,0.1
92,500,2055.0,0.1
93,500,1985.0,0.1
94,500,2047.5,0.1
95,500,2075.0,0.1
96,51,-42.0,0.1
97,500,1887.5,0.1
98,500,1959.0,0.1
99,500,2078.5,0.1
100,500,2074.5,0.1
101,500,1940.5,0.1
102,500,2073.5,0.1
103,500,2025.0,0.1
104,500,1979.5,0.1
105,500,2124.5,0.1
106,500,2008.0,0.1
