episode,episode-rewards,num-steps
1,307.811038823492,146
2,-184.827533370656,34
3,-161.941431745359,321
4,-171.558085031004,54
5,-227.439242024011,543
6,-177.961135769114,294
7,-162.266693226248,108
8,-162.363107322281,261
9,-160.712248825449,144
10,-199.169457994797,142
11,-214.488262508288,88
12,-75.2534079599566,347
13,-247.3576027463,119
14,-142.388673073746,270
15,-234.693841647214,80
16,-225.511530141601,139
17,-137.070158190355,155
18,-178.557938063927,46
19,-153.130762570995,665
20,-223.106364266566,60
21,-210.280887902326,65
22,-204.188720571984,59
23,-237.719728150178,678
24,-150.817819046371,103
25,-177.097160236051,33
26,-224.292717136576,98
27,-135.670474644238,314
28,-147.809439974096,190
29,-188.510241950055,83
30,-220.966936850427,113
31,-241.455611684004,187
32,-145.663274078669,251
33,-119.49371783296,482
34,-146.860013948447,151
35,-223.83573748747,81
36,-206.948151221676,32
37,-145.744847343644,327
38,-152.576651581352,196
39,-171.961073731051,234
40,-236.456195394102,171
41,-191.674548447296,103
42,-195.900572891189,37
43,-189.274115757584,166
44,-237.316196490359,92
45,-197.073175280748,37
46,-114.564152160102,583
47,-216.065154882271,56
48,-152.940759777236,111
49,-135.267684386675,174
50,-177.978645868714,61
51,-119.342038834753,446
52,-199.536668135709,72
53,15.556654399499,198
54,-147.421264771887,476
55,-232.313272224315,177
56,-177.730948305082,140
57,-163.33011945094,268
58,-94.4423810421666,304
59,-238.630855417696,104
60,-207.674512355498,10
61,-228.936039103967,139
62,-163.96554655861,154
63,-208.914312828037,25
64,-208.313337435146,34
65,-218.36992152128,128
66,-215.177117416156,377
67,-68.8366617166092,307
68,-113.097949900386,160
69,-217.204180883083,50
70,-231.796124047858,107
71,-209.935048191364,135
72,-240.938997882645,398
73,-107.08022950094,342
74,-173.086402194503,486
75,-179.649837164428,40
76,-89.5170817022527,382
77,-168.771579167657,36
78,-92.0574049209442,420
79,-206.292565662569,16
80,-250.341768981687,180
81,-162.269151890264,164
82,-155.505449747314,264
83,-243.69480955227,283
84,-123.075899217593,323
85,-215.046277386556,25
86,-182.623940703476,144
87,-202.23992859774,11
88,-177.908299669378,175
89,-143.220286763283,309
90,-190.557210409217,260
91,-119.875890830988,176
92,-151.328645061193,105
93,-173.305911846392,125
94,-167.224229881468,206
95,-172.788468544641,113
96,-158.983931931003,550
97,-198.324132108949,16
98,-181.412776733863,454
99,-145.100429905005,212
100,-117.547611884698,228
101,-199.509827457057,329
102,-35.9867792342651,133
103,16.7858081071445,1000
104,-137.296230462956,431
105,-164.972688590537,122
106,-280.936018123805,375
107,61.4710410838411,1000
108,-141.524741470406,791
109,236.802574940401,35
110,-229.04045673627,274
111,-185.772101092009,179
112,-176.731955485182,165
113,-158.815281278635,601
114,-183.213835204491,291
115,-194.547539396422,458
116,-193.473440383128,529
117,-174.600397065522,166
118,-218.103276159895,231
119,-230.624067678466,799
120,265.700229391883,145
121,-152.752979057267,249
122,-203.555658356876,12
123,-186.162620156974,84
124,-207.785098744856,329
125,57.9752759958812,1000
126,-231.069232697625,344
127,-217.393916466336,208
128,-2.56537987001631,182
129,280.272938910439,998
130,309.330120801824,688
131,-189.090742432993,231
132,110.598166396122,1000
133,-181.542884639945,232
134,-171.695780209845,376
135,-147.281862654717,169
136,256.108728286664,78
137,-175.005976478966,567
138,297.248888448172,344
139,-159.077041996244,445
140,-119.781400051597,182
141,-127.733661419791,275
142,-157.644579835547,485
143,-163.860930172444,72
144,-190.682871881475,229
145,-210.673027506852,590
146,-125.821386411546,689
147,-115.830093510249,597
148,-205.365552058905,160
149,-170.284820165556,126
150,-247.96867464126,139
151,310.740728454724,926
152,84.8909672036855,402
153,-145.995305471802,168
154,-218.105844650401,57
155,-65.7628108207553,727
156,31.2887846384042,1000
157,-242.430013423798,108
158,-135.222872298111,534
159,-123.083734684526,168
160,31.9321532271628,1000
161,259.462142197868,172
162,244.011414282754,579
163,-161.600751298234,92
164,-120.243161605095,566
165,55.0032707087404,1000
166,-185.214380368364,462
167,-140.381700594922,560
168,-199.632884697398,133
169,-153.814646906986,273
170,-224.825728131915,301
171,274.607174052719,246
172,-191.668458891162,513
173,-197.196640005485,237
174,-194.032984842225,103
175,-158.381608521394,160
176,78.8166340016585,841
177,-225.42936908682,245
178,-158.875329810431,481
179,-208.499976955689,130
180,-137.812563579452,173
