model,episode,timeframes,totalrewards,success
epochs_50,1,1000,4131.0,1
epochs_50,2,1000,4180.5,1
epochs_50,3,1000,4125.5,1
epochs_50,4,1000,4125.5,1
epochs_50,5,1000,4098.0,1
epochs_50,6,1000,4186.0,1
epochs_50,7,1000,4136.5,1
epochs_50,8,1000,4092.5,1
epochs_50,9,1000,4114.5,1
epochs_50,10,1000,4147.5,1
epochs_50,11,1000,4120.0,1
epochs_50,12,1000,4136.5,1
epochs_50,13,1000,4081.5,1
epochs_50,14,1000,4186.0,1
epochs_50,15,1000,4180.5,1
epochs_50,16,1000,4164.0,1
epochs_50,17,1000,4142.0,1
epochs_50,18,1000,4186.0,1
epochs_50,19,1000,4158.5,1
epochs_50,20,1000,4191.5,1
epochs_40,1,1000,4230.0,1
epochs_40,2,1000,4147.5,1
epochs_40,3,1000,4087.0,1
epochs_40,4,1000,4131.0,1
epochs_40,5,1000,4048.5,1
epochs_40,6,1000,4026.5,1
epochs_40,7,1000,4109.0,1
epochs_40,8,1000,4125.5,1
epochs_40,9,1000,4043.0,1
epochs_40,10,1000,4158.5,1
epochs_40,11,1000,4191.5,1
epochs_40,12,1000,4164.0,1
epochs_40,13,1000,4142.0,1
epochs_40,14,1000,4109.0,1
epochs_40,15,1000,3966.0,1
epochs_40,16,1000,4241.0,1
epochs_40,17,1000,4147.5,1
epochs_40,18,638,2413.0,0
epochs_40,19,1000,4175.0,1
epochs_40,20,1000,4087.0,1
epochs_30,1,1000,3982.5,1
epochs_30,2,1000,4125.5,1
epochs_30,3,1000,3977.0,1
epochs_30,4,1000,4131.0,1
epochs_30,5,1000,3872.5,1
epochs_30,6,1000,4048.5,1
epochs_30,7,1000,4026.5,1
epochs_30,8,1000,4043.0,1
epochs_30,9,1000,3905.5,1
epochs_30,10,1000,3993.5,1
epochs_30,11,1000,4120.0,1
epochs_30,12,1000,4120.0,1
epochs_30,13,17,-197.0,0
epochs_30,14,1000,4175.0,1
epochs_30,15,1000,4059.5,1
epochs_30,16,1000,3795.5,1
epochs_30,17,284,923.5,0
epochs_30,18,1000,3883.5,1
epochs_30,19,1000,3927.5,1
epochs_30,20,1000,4098.0,1
epochs_50,21,1000,4087.0,1
epochs_50,22,1000,4059.5,1
epochs_50,23,12,-172.5,0
epochs_50,24,1000,4180.5,1
epochs_50,25,1000,4164.0,1
epochs_50,26,1000,4125.5,1
epochs_50,27,1000,4180.5,1
epochs_50,28,1000,4125.5,1
epochs_50,29,1000,4142.0,1
epochs_50,30,385,1324.0,0
epochs_50,31,1000,4114.5,1
epochs_50,32,1000,4136.5,1
epochs_50,33,1000,4175.0,1
epochs_50,34,1000,4164.0,1
