episode,episode-rewards,num-steps
1,-165.0,19
2,-177.5,11
3,-179.0,14
4,-158.0,16
5,-153.5,18
6,-124.0,36
7,-176.5,9
8,-145.0,23
9,-169.0,16
10,-160.5,21
11,-170.0,29
12,-176.5,9
13,-158.0,27
14,-177.5,11
15,-140.5,25
16,-115.5,30
17,-167.0,23
18,-177.5,11
19,-172.5,12
20,-159.0,18
21,-130.0,37
22,-158.0,38
23,-141.5,38
24,-155.5,22
25,-167.0,23
26,-157.5,15
27,-166.0,21
28,-183.5,12
29,-167.0,12
30,-161.0,22
31,-177.5,11
32,-102.5,48
33,-184.0,13
34,-169.5,17
35,-154.0,19
36,-122.0,32
37,-158.0,16
38,28.0,106
39,-115.5,52
40,-146.5,26
41,-183.5,12
42,-172.0,11
43,-106.5,45
44,-150.5,23
45,-184.0,13
46,-155.5,22
47,-171.0,9
48,-153.5,18
49,-141.5,27
50,-171.5,10
51,-172.5,12
52,-111.0,32
53,-104.5,41
54,-161.0,11
55,-157.5,15
56,-149.5,21
57,-138.0,31
58,-157.5,15
59,-175.5,18
60,-80.0,47
61,-168.5,15
62,-135.5,26
63,-168.0,14
64,-135.5,26
65,-147.0,16
66,-173.0,13
67,-94.5,43
68,-183.0,11
69,-173.0,13
70,-178.5,13
71,-179.5,15
72,-171.0,20
73,-147.0,27
74,-176.0,8
75,-29.0,77
76,-178.5,13
77,-154.0,19
78,-173.0,13
79,-177.5,11
80,-60.0,62
81,-44.5,86
82,-170.0,7
83,-169.5,17
84,-177.5,11
85,-177.0,10
86,-128.5,34
87,-177.0,10
88,-175.5,7
89,-129.0,24
90,-157.5,26
91,-76.0,50
92,-167.0,12
93,-181.5,8
94,-111.5,33
95,-109.0,39
96,-151.5,25
97,-175.5,7
98,-184.0,13
99,-173.0,13
100,-178.0,12
101,-184.0,13
102,-163.5,16
103,-176.0,8
104,-160.5,21
105,-160.0,20
106,-149.5,21
107,-154.0,30
108,-123.5,35
109,-156.5,24
110,-163.5,27
111,-68.0,67
112,-167.5,13
113,-124.5,26
114,-172.0,11
115,-184.0,13
116,-136.5,17
117,-143.0,30
118,-116.0,31
119,-135.5,26
120,-139.5,34
121,-153.5,18
122,-43.5,62
123,-171.5,21
124,-99.0,41
125,-176.0,8
126,-176.0,8
127,-165.5,20
128,-115.5,41
129,-55.5,53
130,-153.0,28
131,-156.5,24
132,-173.0,13
133,-168.0,14
134,-55.5,53
135,-62.5,89
136,-176.5,9
137,-129.5,36
138,-133.5,33
139,-173.5,14
140,-178.5,13
141,-146.5,26
