epoch,mean-returns,mean-length,num-episodes
1,-145.67391304347825,24.84472049689441,161
2,-126.9430894308943,32.520325203252035,123
3,-85.4888888888889,44.44444444444444,90
4,-56.651162790697676,46.51162790697674,86
5,81.62,80.0,50
6,467.40909090909093,181.8181818181818,22
7,352.53846153846155,153.84615384615384,26
8,384.65909090909093,181.8181818181818,22
9,1025.3181818181818,363.6363636363636,11
10,1224.7777777777778,444.44444444444446,9
11,849.0,333.3333333333333,12
12,970.8181818181819,363.6363636363636,11
13,2270.7,800.0,5
14,11601.5,4000.0,1
15,5929.25,2000.0,2
16,14247.0,4000.0,1
17,13906.0,4000.0,1
18,14967.5,4000.0,1
19,14907.0,4000.0,1
20,15358.0,4000.0,1
21,7571.0,2000.0,2
22,15919.0,4000.0,1
23,7744.25,2000.0,2
24,5244.833333333333,1333.3333333333333,3
25,15919.0,4000.0,1
26,7936.75,2000.0,2
27,7958.75,2000.0,2
28,7953.25,2000.0,2
29,15699.0,4000.0,1
30,15985.0,4000.0,1
31,16166.5,4000.0,1
32,16144.5,4000.0,1
33,16161.0,4000.0,1
34,16337.0,4000.0,1
35,16067.5,4000.0,1
36,8110.0,2000.0,2
37,16106.0,4000.0,1
38,16150.0,4000.0,1
39,5301.666666666667,1333.3333333333333,3
40,16463.5,4000.0,1
41,16315.0,4000.0,1
42,16705.5,4000.0,1
43,16678.0,4000.0,1
44,16579.0,4000.0,1
45,16304.0,4000.0,1
46,8104.5,2000.0,2
47,16524.0,4000.0,1
48,16540.5,4000.0,1
49,16480.0,4000.0,1
50,16568.0,4000.0,1
